person,promedioCadaCuantosDiasVuelve,cadaCuantasHorasHaceEventos,cadaCuantosMinutosHaceEventos,cadaCuantosDiasEnMes5HaceEventos,cadaCuantasHorasEnUnDiaDelMes5HaceEventos,cadaCuantosMinutosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantosSegundosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantasHorasHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosMinutosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosSegundosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosDiasHaceConversion,cadaCuantosDiasHaceCheckout
18617df6,0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,-1.0,0.0
1864e104,0,3,37,0.0,3.0,2.0,88.0,3.0,2.0,88.5,-1.0,0.0
1865157c,0,0,2,0.0,1.0,1.0,12.0,1.0,1.0,11.5,-1.0,0.0
1866b2b1,0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,-1.0,0.0
18677734,2,26,302,2.0,2.0,2.0,45.0,0.0,5.0,91.0,-1.0,3.0
18682e7e,13,334,2871,14.0,0.0,1.0,18.0,0.0,1.0,21.0,-1.0,13.0
18694001,0,1,95,0.0,2.0,0.0,6.0,2.0,0.0,5.5,-1.0,-1.0
186d1072,0,0,0,0.0,0.0,1.0,19.0,0.0,1.0,19.0,-1.0,0.0
186deb7a,0,0,0,0.0,0.0,1.0,39.0,0.0,1.0,39.0,-1.0,0.0
186e7640,0,0,1,0.0,0.0,1.0,30.0,0.0,1.0,30.0,-1.0,0.0
18701539,0,0,2,0.0,0.0,2.0,49.0,0.0,2.0,49.0,-1.0,0.0
1872ba51,0,0,1,0.0,0.0,2.0,43.0,0.0,2.0,43.0,-1.0,0.0
1873773e,1,21,545,2.0,4.0,1.0,33.0,6.0,0.6666666666666666,32.666666666666664,-1.0,0.0
1877c942,6,81,1156,7.0,1.0,3.0,68.0,1.0,6.0,152.0,-1.0,0.0
1877d2fe,0,0,0,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
187d7995,0,18,177,1.0,0.0,1.0,13.0,0.0,0.0,3.0,-1.0,0.0
187e19a3,0,0,0,0.0,0.0,1.0,22.0,0.0,1.0,22.0,-1.0,0.0
18804670,0,2,21,0.0,3.0,1.0,37.0,3.0,1.25,37.0,-1.0,0.0
1881d0d9,12,60,1809,12.0,4.0,2.0,45.0,2.0,1.0,25.0,-1.0,0.0
1882e6ea,1,42,841,1.0,0.0,0.0,18.0,0.0,0.0,5.0,-1.0,-1.0
18836593,20,252,5048,3.0,6.0,1.0,10.0,3.0,1.0,11.0,-1.0,0.0
1884b46d,0,0,1,0.0,1.0,2.0,82.0,1.0,2.0,81.5,-1.0,0.0
1885465c,0,0,0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,-1.0,0.0
18866a2e,8,112,3490,0.0,0.0,4.0,91.0,0.0,4.0,91.0,-1.0,34.0
1888afe0,0,10,163,1.0,2.0,2.0,22.0,1.0,1.0,15.5,-1.0,0.0
188aa475,6,83,976,7.0,1.0,5.0,147.0,4.0,3.4,86.8,0.0,0.0
188e4bd3,0,0,2,0.0,0.0,2.0,46.0,0.0,2.0,46.0,-1.0,0.0
18922860,0,0,1,0.0,0.0,1.0,14.0,0.0,1.0,14.0,-1.0,0.0
18923633,4,45,1799,5.0,2.0,1.0,75.0,0.0,0.0,0.0,-1.0,0.0
1892cb80,0,8,76,0.0,9.0,1.0,24.0,9.0,1.0,24.5,-1.0,0.0
189468a2,27,324,5567,0.0,0.0,6.0,85.0,0.0,6.0,85.0,-1.0,-1.0
1894bb0d,0,0,1,0.0,0.0,2.0,73.0,0.0,2.0,73.0,-1.0,0.0
1896e39a,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,0.0
189c451b,9,177,1559,2.0,0.0,1.0,37.0,0.0,1.0,32.0,-1.0,0.0
189ef446,0,0,16,0.0,1.0,4.0,118.0,1.0,4.0,118.0,-1.0,0.0
189f09a7,0,6,77,0.0,6.0,1.0,16.0,6.0,1.0,15.75,-1.0,0.0
18a185e1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,0.0
18a1de79,0,9,199,1.0,2.0,1.0,18.0,0.0,1.0,39.0,-1.0,0.0
18a2053b,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0
18a28031,1,38,700,2.0,0.0,1.0,18.0,0.0,0.0,2.0,-1.0,0.0
18a333df,0,0,2,1.0,0.0,1.0,50.0,0.0,2.0,101.0,-1.0,0.0
18a4c4db,4,93,4198,3.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0
18a5c92f,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18a6325b,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-1.0,0.0
18a670a9,0,0,0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,-1.0,0.0
18a6eaa0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
18a737c8,0,0,1,1.0,0.0,2.0,34.0,0.0,1.0,13.0,-1.0,0.0
18a74213,2,14,245,2.0,2.0,3.0,75.0,2.0,5.5,155.5,-1.0,0.0
18a8481e,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,0.0
18aa0e54,1,12,353,1.0,1.0,2.0,72.0,1.0,2.0,34.0,-1.0,0.0
18ac1cd6,2,22,408,2.0,1.0,2.0,37.0,0.0,1.0,47.0,-1.0,0.0
18ac5796,0,0,1,0.0,0.0,1.0,72.0,0.0,1.0,72.0,-1.0,-1.0
18ad1f7c,6,58,966,6.0,2.0,1.0,24.0,7.0,0.3333333333333333,6.666666666666667,-1.0,0.0
18ad6ffd,3,51,1036,6.0,1.0,1.0,18.0,2.0,0.5,17.0,-1.0,0.0
18af2e56,0,0,1,0.0,1.0,6.0,59.0,1.0,5.5,59.0,-1.0,0.0
18afeaf8,28,345,3771,10.0,0.0,2.0,40.0,1.0,2.6666666666666665,63.666666666666664,-1.0,0.0
18b160bb,8,96,1547,8.0,1.0,2.0,61.0,0.0,3.0,97.0,-1.0,0.0
18b36f7d,0,0,1,0.0,0.0,2.0,64.0,0.0,2.0,64.0,-1.0,0.0
18b5e8e5,0,0,6,0.0,1.0,1.0,19.0,1.0,1.0,19.0,-1.0,0.0
18b65757,0,0,2,0.0,0.0,3.0,60.0,0.0,3.0,60.0,-1.0,0.0
18b81745,0,0,0,0.0,0.0,1.0,17.0,0.0,1.0,17.0,-1.0,0.0
18b908a5,0,11,60,1.0,0.0,2.0,76.0,0.0,1.0,43.0,-1.0,0.0
18b92214,3,46,233,4.0,0.0,2.0,50.0,1.0,2.5,54.0,0.0,0.0
18bb0758,6,158,4216,6.0,0.0,0.0,8.0,0.0,0.0,1.0,-1.0,14.0
18bbc35a,4,65,937,3.0,1.0,2.0,69.0,2.0,1.6666666666666667,51.666666666666664,-1.0,70.0
18bf8f3e,0,0,0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,-1.0,0.0
18bff540,13,111,1257,0.0,0.0,1.0,16.0,0.0,1.0,16.0,-1.0,-1.0
18c017aa,2,33,159,2.0,0.0,2.0,18.0,0.0,1.0,11.0,-1.0,0.0
18c09d85,0,0,1,0.0,0.0,1.0,43.0,0.0,1.0,43.0,0.0,0.0
18c22471,0,11,683,0.0,12.0,0.0,10.0,12.0,0.0,9.5,-1.0,0.0
18c35c44,0,0,0,0.0,0.0,1.0,11.0,0.0,1.0,11.0,-1.0,0.0
18c3bf8c,6,65,1961,6.0,1.0,0.0,15.0,0.0,0.0,3.0,-1.0,15.0
18c5c414,0,0,1,0.0,0.0,1.0,27.0,0.0,1.0,27.0,-1.0,0.0
18c68f8f,5,62,1184,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
18c6d6fe,1,28,705,1.0,0.0,2.0,57.0,0.0,0.0,0.0,-1.0,0.0
18c6fc3e,21,506,15180,21.0,0.0,0.0,3.0,0.0,1.0,2.0,-1.0,-1.0
18c7483d,0,1,19,0.0,2.0,1.0,33.0,2.0,1.3333333333333333,32.666666666666664,-1.0,0.0
18cc2932,0,0,1,0.0,1.0,2.0,36.0,1.0,1.5,36.0,-1.0,0.0
18cec357,2,38,717,5.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0
18d576ae,0,0,1,0.0,0.0,2.0,30.0,0.0,2.0,30.0,-1.0,0.0
18d5a882,0,6,43,0.0,6.0,2.0,40.0,6.0,1.6666666666666667,39.666666666666664,-1.0,0.0
18d7d90f,17,256,3665,20.0,0.0,4.0,198.0,0.0,6.0,376.0,-1.0,0.0
18d827be,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18d883d8,9,235,1285,10.0,0.0,1.0,27.0,0.0,1.0,31.0,-1.0,0.0
18db2af5,1,41,1479,2.0,0.0,1.0,10.0,0.0,0.0,0.0,-1.0,0.0
18e34551,6,82,783,4.0,1.0,2.0,63.0,2.0,2.0,75.5,-1.0,0.0
18e77b0a,2,45,367,3.0,0.0,1.0,20.0,0.0,1.0,18.0,-1.0,0.0
18e91628,4,96,2904,4.0,0.0,0.0,13.0,0.0,0.0,0.0,-1.0,0.0
18e93fd5,66,1614,27668,0.0,0.0,1.0,51.0,0.0,1.0,51.0,-1.0,0.0
18eae5b1,8,133,1917,5.0,0.0,1.0,26.0,0.0,1.0,28.0,73.0,20.0
18eb43b0,1,15,226,1.0,1.0,2.0,32.0,5.0,0.0,0.0,0.0,0.0
18eb514d,0,0,1,1.0,0.0,2.0,40.0,0.0,1.0,35.0,0.0,0.0
18ebadf0,3,27,480,3.0,2.0,3.0,92.0,3.0,1.3333333333333333,50.666666666666664,0.0,13.0
18ecbd43,1,30,192,2.0,1.0,1.0,42.0,11.0,1.6666666666666667,45.333333333333336,-1.0,5.0
18ee7370,4,108,727,4.0,0.0,1.0,38.0,0.0,1.0,42.0,-1.0,0.0
18ef7e13,1,17,338,1.0,1.0,3.0,89.0,0.0,1.0,28.0,-1.0,0.0
18f21e26,1,12,177,1.0,1.0,3.0,52.0,1.0,0.0,5.0,-1.0,0.0
18f2318a,5,118,2812,3.0,0.0,1.0,10.0,0.0,1.0,19.0,-1.0,14.0
18f28620,6,93,1643,0.0,2.0,1.0,11.0,2.0,1.0,10.666666666666666,0.0,34.0
18f38bdc,0,10,260,1.0,0.0,0.0,16.0,0.0,0.0,0.0,-1.0,0.0
18f39a0c,6,68,932,2.0,2.0,4.0,64.0,1.0,6.333333333333333,114.0,-1.0,-1.0
18f65d0b,1,18,252,1.0,1.0,1.0,34.0,2.0,1.5,19.5,-1.0,-1.0
18f72194,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,0.0
18fa491c,7,125,2007,3.0,3.0,2.0,45.0,11.0,4.666666666666667,115.66666666666667,-1.0,0.0
18fbb2c3,0,22,686,1.0,0.0,0.0,10.0,0.0,0.0,1.0,-1.0,0.0
18ff67ba,0,0,1,0.0,0.0,2.0,54.0,0.0,2.0,54.0,-1.0,0.0
19009af4,0,0,3,0.0,0.0,3.0,101.0,0.0,3.0,101.0,0.0,0.0
19023bc9,1,13,95,1.0,2.0,4.0,96.0,4.0,7.0,181.0,-1.0,0.0
19049826,8,65,285,8.0,1.0,2.0,63.0,1.0,3.0,68.5,-1.0,0.0
1906223e,16,406,5416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19065c8c,9,230,2305,10.0,0.0,2.0,58.0,0.0,1.0,14.0,-1.0,0.0
1906b125,4,98,1980,4.0,0.0,0.0,22.0,0.0,0.0,1.0,-1.0,-1.0
19072e65,4,119,897,4.0,0.0,2.0,33.0,0.0,0.0,1.0,-1.0,0.0
19078bd4,0,0,12,0.0,1.0,3.0,140.0,1.0,3.0,140.0,-1.0,0.0
19084cce,4,75,1393,4.0,1.0,1.0,26.0,3.0,0.5,19.0,-1.0,0.0
190a7e66,1,22,346,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
190b1ebc,0,1,12,0.0,2.0,1.0,10.0,2.0,0.8,10.2,-1.0,0.0
190dbdee,2,21,308,1.0,4.0,3.0,95.0,0.0,1.0,29.0,0.0,4.0
190f9a00,0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,-1.0,0.0
1910383a,5,70,1549,2.0,1.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0
1910c8db,0,4,28,1.0,0.0,0.0,10.0,0.0,1.0,19.0,-1.0,-1.0
1914d2c4,16,403,7266,0.0,0.0,1.0,33.0,0.0,1.0,33.0,1.0,0.0
191a81d4,0,22,74,1.0,0.0,1.0,20.0,0.0,1.0,31.0,-1.0,0.0
191fc250,6,150,1796,6.0,0.0,1.0,23.0,0.0,1.0,19.0,-1.0,9.0
1921c53d,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
1924169c,8,192,1925,8.0,0.0,0.0,22.0,0.0,1.0,20.0,-1.0,0.0
192716b4,0,0,0,0.0,0.0,1.0,22.0,0.0,1.0,22.0,-1.0,0.0
1927a88d,7,106,2739,2.0,2.0,1.0,33.0,5.0,1.0,20.0,-1.0,0.0
192d8d8f,4,72,950,4.0,1.0,3.0,68.0,0.0,7.0,213.0,-1.0,-1.0
192e7522,0,0,6,0.0,1.0,1.0,58.0,1.0,1.0,58.5,-1.0,-1.0
192e84d1,13,204,3893,3.0,0.0,4.0,123.0,1.0,9.666666666666666,285.0,0.0,57.0
192f6825,1,32,482,2.0,1.0,2.0,67.0,3.0,4.5,143.0,-1.0,0.0
192fff17,0,0,1,0.0,1.0,1.0,18.0,1.0,1.0,17.5,-1.0,0.0
19313863,2,32,329,3.0,1.0,3.0,93.0,1.0,5.5,210.0,-1.0,0.0
19340fc3,0,15,303,1.0,0.0,0.0,6.0,0.0,0.0,2.0,-1.0,0.0
19352019,3,13,87,3.0,1.0,2.0,51.0,1.0,0.6,8.6,0.0,0.0
1935d02d,2,35,526,3.0,2.0,1.0,31.0,1.0,5.0,143.5,17.0,23.0
1937d26f,0,0,0,0.0,0.0,1.0,10.0,0.0,1.0,10.0,-1.0,0.0
19388c78,2,34,642,3.0,1.0,2.0,53.0,0.0,0.0,34.0,0.0,0.0
193f9460,1,12,110,1.0,0.0,2.0,71.0,1.0,2.5,92.5,-1.0,-1.0
194282e8,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
19449c8b,0,0,4,0.0,1.0,2.0,143.0,1.0,2.5,143.0,0.0,0.0
19449dc6,0,0,9,0.0,1.0,3.0,128.0,1.0,3.0,128.0,-1.0,0.0
1944ef1e,0,0,1,0.0,0.0,1.0,34.0,0.0,1.0,34.0,-1.0,0.0
194ad9fb,6,159,1789,6.0,0.0,1.0,30.0,0.0,1.0,39.0,-1.0,0.0
194c67d5,20,98,1639,20.0,2.0,2.0,40.0,3.0,2.0,53.5,-1.0,-1.0
19500958,12,298,1493,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1956d22c,2,54,362,3.0,0.0,1.0,27.0,0.0,1.0,32.0,-1.0,0.0
195762ac,2,43,846,3.0,0.0,1.0,32.0,0.0,1.0,50.0,18.0,37.0
195817f0,0,3,227,0.0,4.0,0.0,4.0,4.0,0.0,4.0,-1.0,0.0
195b8af1,0,6,73,1.0,1.0,2.0,41.0,0.0,0.0,2.0,-1.0,0.0
195dafaf,2,38,611,2.0,2.0,1.0,37.0,5.0,1.5,56.5,0.0,12.0
195f8a25,0,0,0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.0,-1.0
1961d615,0,0,11,0.0,1.0,3.0,106.0,1.0,3.0,106.5,-1.0,0.0
196292f4,0,0,4,0.0,0.0,4.0,111.0,0.0,4.0,111.0,-1.0,-1.0
1962c9c1,0,0,0,0.0,0.0,1.0,10.0,0.0,1.0,10.0,-1.0,0.0
196400fd,0,2,29,0.0,3.0,0.0,8.0,3.0,0.5,8.0,-1.0,0.0
1965d791,8,61,633,2.0,1.0,4.0,113.0,4.0,2.5714285714285716,78.71428571428571,-1.0,1.0
196a0657,0,0,8,0.0,0.0,8.0,243.0,0.0,8.0,243.0,-1.0,0.0
196e3c43,7,116,3875,7.0,4.0,0.0,5.0,10.0,0.0,3.0,-1.0,0.0
196fa4e4,3,56,568,4.0,0.0,1.0,20.0,0.0,1.0,17.0,-1.0,0.0
196fe7a8,4,118,419,5.0,0.0,2.0,82.0,0.0,2.0,78.0,-1.0,0.0
197075cd,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
19713bd2,1,36,314,2.0,0.0,0.0,13.0,0.0,0.0,2.0,-1.0,0.0
19731c9d,2,28,409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
19750fed,3,10,130,4.0,2.0,1.0,32.0,3.0,1.0,34.0,0.0,0.0
19761232,1,19,364,1.0,1.0,1.0,35.0,0.0,2.0,114.0,-1.0,0.0
1976ec14,7,188,941,7.0,0.0,3.0,42.0,0.0,5.0,61.0,-1.0,0.0
197832d7,0,0,13,0.0,1.0,9.0,273.0,1.0,9.0,273.0,-1.0,0.0
1978e8a5,12,213,1423,14.0,0.0,2.0,54.0,0.0,4.0,62.0,-1.0,25.0
1978edfa,1,18,597,2.0,3.0,4.0,114.0,0.0,1.0,63.0,1.0,0.0
197a619e,48,1156,34709,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,-1.0
197cc246,20,247,1853,20.0,2.0,1.0,27.0,3.0,1.0,27.0,-1.0,0.0
197ef627,6,80,720,4.0,0.0,6.0,209.0,1.0,8.333333333333334,339.3333333333333,-1.0,0.0
197f5bb1,2,54,810,2.0,0.0,1.0,31.0,0.0,0.0,2.0,-1.0,7.0
1983a9a0,0,0,5,0.0,1.0,1.0,32.0,1.0,1.0,32.5,-1.0,0.0
19863427,1,10,111,2.0,1.0,2.0,57.0,2.0,2.6666666666666665,92.66666666666667,-1.0,1.0
1986c65a,0,0,0,0.0,0.0,1.0,24.0,0.0,1.0,24.0,-1.0,0.0
19876c5b,4,63,1981,3.0,4.0,6.0,164.0,0.0,1.0,19.0,0.0,20.0
1989d209,0,0,0,0.0,0.0,1.0,18.0,0.0,1.0,18.0,-1.0,0.0
198a5347,1,30,371,1.0,0.0,2.0,78.0,0.0,0.0,1.0,0.0,0.0
198b8815,0,0,1,0.0,0.0,2.0,40.0,0.0,2.0,40.0,-1.0,0.0
198be4d2,0,21,318,1.0,0.0,0.0,12.0,0.0,1.0,10.0,-1.0,0.0
198c1b1a,8,95,916,3.0,2.0,1.0,32.0,1.0,1.6666666666666667,31.333333333333332,-1.0,0.0
198d967e,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,-1.0,0.0
1993bd69,0,0,0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,-1.0,0.0
1994f5d7,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19967210,0,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
1997e0b4,1,46,1382,2.0,0.0,0.0,12.0,0.0,0.0,3.0,-1.0,0.0
1998824e,0,0,1,0.0,0.0,1.0,28.0,0.0,1.0,28.0,-1.0,0.0
19988c86,20,321,2228,1.0,0.0,2.0,57.0,1.0,1.5,49.0,-1.0,0.0
1998d1d8,6,167,2517,7.0,0.0,1.0,28.0,0.0,1.0,36.0,-1.0,0.0
19993325,20,318,7166,0.0,0.0,1.0,21.0,0.0,1.0,21.0,-1.0,0.0
199cf3c4,1,11,147,1.0,1.0,1.0,60.0,2.0,0.6666666666666666,24.0,1.0,1.0
199f3573,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,0.0
199f6914,0,0,0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,-1.0,0.0
19a10747,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,-1.0
19a3c0f4,0,1,30,0.0,2.0,3.0,184.0,2.0,3.2,184.2,-1.0,0.0
19a408f1,13,286,5013,6.0,0.0,2.0,44.0,0.0,0.0,2.0,-1.0,0.0
19a58f4e,9,221,4430,10.0,0.0,1.0,20.0,0.0,1.0,24.0,-1.0,0.0
19ab3bfd,0,0,1,0.0,0.0,1.0,42.0,0.0,1.0,42.0,-1.0,0.0
19ad16f0,0,0,1,0.0,0.0,2.0,55.0,0.0,2.0,55.0,0.0,0.0
19b061db,0,4,45,1.0,3.0,1.0,57.0,0.0,0.0,0.0,-1.0,0.0
19b0c189,2,20,507,2.0,3.0,0.0,14.0,2.0,0.3333333333333333,6.0,0.0,0.0
19b13da0,4,114,686,5.0,0.0,2.0,35.0,0.0,2.0,42.0,-1.0,0.0
19b1e66c,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,-1.0
19b22277,0,1,26,0.0,2.0,1.0,19.0,2.0,1.0,19.333333333333332,0.0,0.0
19b45179,0,5,38,0.0,5.0,2.0,38.0,5.0,1.5,37.5,-1.0,0.0
19b64561,0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,-1.0,0.0
19b77afe,38,927,13912,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0
19b9019c,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,0.0
19be375f,0,2,9,0.0,3.0,0.0,15.0,3.0,0.5,15.0,-1.0,0.0
19bed1d7,1,9,99,1.0,4.0,1.0,19.0,0.0,2.0,25.0,-1.0,0.0
19c20327,0,0,1,0.0,0.0,1.0,22.0,0.0,1.0,22.0,-1.0,-1.0
19c4c4dd,0,0,3,0.0,1.0,2.0,95.0,1.0,2.0,95.0,-1.0,0.0
19c5639a,1,26,146,2.0,0.0,2.0,81.0,0.0,2.0,140.0,-1.0,1.0
19c7c89b,0,0,0,0.0,0.0,1.0,13.0,0.0,1.0,13.0,-1.0,0.0
19c81375,0,0,0,0.0,0.0,1.0,16.0,0.0,1.0,16.0,-1.0,0.0
19c94e0b,2,34,474,2.0,1.0,2.0,49.0,1.0,1.0,16.5,-1.0,12.0
19c96547,0,0,3,0.0,0.0,3.0,62.0,0.0,3.0,62.0,0.0,0.0
19ca7061,0,0,2,0.0,0.0,3.0,89.0,0.0,3.0,89.0,-1.0,0.0
19cbea91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
19cc6d86,0,0,0,0.0,0.0,1.0,17.0,0.0,1.0,17.0,-1.0,0.0
19ccba53,3,65,1339,3.0,1.0,1.0,18.0,9.0,1.0,15.5,-1.0,11.0
19cda391,0,0,4,0.0,1.0,1.0,24.0,1.0,1.0,24.0,-1.0,0.0
19cde3ee,27,262,7869,0.0,8.0,0.0,19.0,8.0,0.3333333333333333,18.666666666666668,-1.0,-1.0
19d3a268,2,33,791,2.0,4.0,1.0,43.0,3.0,0.0,3.0,-1.0,0.0
19ddeb67,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-1.0,0.0
19de7639,29,713,42831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
19e2dc15,10,214,3210,8.0,0.0,0.0,22.0,0.0,0.0,2.0,-1.0,0.0
19e355cc,1,33,573,2.0,0.0,1.0,70.0,0.0,0.0,4.0,-1.0,0.0
19e5bd06,0,0,1,0.0,0.0,2.0,16.0,0.0,2.0,16.0,-1.0,0.0
19e5e4e5,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.5,-1.0,0.0
19e62379,0,0,1,0.0,1.0,1.0,26.0,1.0,1.0,25.5,-1.0,0.0
19eb1e02,12,309,4126,1.0,0.0,4.0,62.0,0.0,3.0,76.0,-1.0,0.0
19ed4344,1,22,284,2.0,1.0,2.0,57.0,4.0,2.0,49.5,0.0,5.0
19ee08b6,2,49,466,4.0,0.0,2.0,67.0,0.0,4.0,77.0,-1.0,0.0
19ee2d59,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19f17086,0,0,11,0.0,1.0,1.0,35.0,1.0,1.0,35.0,-1.0,-1.0
19faf3af,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
19fc4e77,0,0,1,0.0,0.0,2.0,45.0,0.0,2.0,45.0,-1.0,0.0
19fcbcd5,1,10,326,1.0,2.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0
19fd4b87,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0
19ff3181,0,0,22,0.0,0.0,23.0,696.0,0.0,23.0,696.0,-1.0,0.0
1a01ee85,0,0,2,0.0,0.0,2.0,77.0,0.0,2.0,77.0,0.0,0.0
1a033b91,2,52,1183,3.0,1.0,0.0,16.0,0.0,0.0,4.0,-1.0,0.0
1a0a0999,6,65,314,7.0,1.0,3.0,105.0,1.0,1.0,73.5,0.0,0.0
1a0f4edd,2,59,898,3.0,0.0,2.0,32.0,0.0,3.0,61.0,-1.0,0.0
1a113868,0,23,83,0.0,23.0,4.0,118.0,23.0,4.5,118.5,-1.0,0.0
1a1282d9,0,0,4,0.0,0.0,5.0,98.0,0.0,5.0,98.0,-1.0,0.0
1a13b8e3,0,0,0,0.0,0.0,1.0,17.0,0.0,1.0,17.0,-1.0,0.0
1a1593ec,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0
1a16d494,0,0,2,0.0,1.0,2.0,46.0,1.0,1.5,46.5,-1.0,0.0
1a16f57e,15,235,3981,6.0,2.0,2.0,70.0,6.0,0.6666666666666666,12.666666666666666,-1.0,0.0
1a1a16f8,0,0,0,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
1a1b10d4,1,12,82,1.0,0.0,1.0,28.0,1.0,1.0,12.5,-1.0,0.0
1a1d5aa0,56,1345,16155,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
1a1e6942,2,64,832,3.0,0.0,2.0,51.0,0.0,2.0,93.0,-1.0,0.0
1a22550d,0,2,25,0.0,2.0,1.0,9.0,2.0,0.6666666666666666,8.666666666666666,-1.0,0.0
1a260aa4,18,357,5362,7.0,0.0,3.0,62.0,0.0,6.0,137.0,-1.0,0.0
1a2616d7,3,52,920,2.0,1.0,2.0,28.0,0.0,1.0,53.0,-1.0,0.0
1a275de2,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
1a282f14,0,0,3,0.0,1.0,4.0,195.0,1.0,4.0,195.0,-1.0,0.0
1a29fb85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1a2e3e29,2,43,743,2.0,1.0,1.0,53.0,0.0,2.0,44.0,0.0,0.0
1a31e02c,3,91,686,4.0,0.0,2.0,66.0,0.0,4.0,110.0,-1.0,0.0
1a335de0,0,0,2,0.0,0.0,3.0,80.0,0.0,3.0,80.0,-1.0,0.0
1a3424c2,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
1a354339,3,36,1444,3.0,2.0,1.0,62.0,0.0,0.0,0.0,-1.0,3.0
1a39bc6b,10,244,2095,10.0,0.0,2.0,37.0,0.0,4.0,54.0,-1.0,0.0
1a3b199e,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,-1.0,-1.0
1a3bbb33,32,787,5249,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
